mobile	mobilier	N	J	ier	suffix
étrange	étranger	J	J	er	suffix
calculer	calculateur	V	J	ateur	suffix
astromètre	astrométrie	N	N	ie	suffix
utile	utiliser	J	V	iser	suffix
logique	logiciel	J	J	iel	suffix
Hongrie	Hongrois	N	N	ois	suffix
déployer	déploiement	V	N	ment	suffix
deux	deuxième	N	J	ième	suffix
trois	troisième	N	J	ième	suffix
Dalton	daltonien	N	N	ien	suffix
quatre	quatrième	N	J	ième	suffix
cinq	cinquième	N	N	ième	suffix
six	sixième	N	J	ième	suffix
sept	septième	N	J	ième	suffix
huit	huitième	N	J	ième	suffix
neuf	neuvième	N	J	ième	suffix
dix	dixième	N	J	ième	suffix
gagner	gagnable	V	J	able	suffix
onze	onzième	N	J	ième	suffix
douze	douzième	N	J	ième	suffix
treize	treizième	N	N	ième	suffix
Sicile	sicilien	N	N	ien	suffix
abaisser	abaissable	V	J	able	suffix
Corée	coréen	N	N	en	suffix
marner	marnage	V	N	age	suffix
marner	marnage	V	N	age	suffix
baisser	abaisser	V	V	a	prefix
cellule	cellulaire	N	J	aire	suffix
gramme	kilogramme	N	N	kilo	prefix
néophobe	néophobie	J	N	ie	suffix
coiffer	coiffeur	V	N	eur	suffix
ingénier	ingénieur	V	N	eur	suffix
boulanger	boulangerie	N	N	erie	suffix
sauter	sauterelle	V	N	elle	suffix
quatorze	quatorzième	N	J	ième	suffix
bigame	bigamie	J	N	ie	suffix
France	français	N	N	ais	suffix
vite	vitesse	J	N	esse	suffix
vasculaire	vasculariser	J	V	iser	suffix
information	informatique	N	N	ique	suffix
rucher	rucher	N	N	er	suffix
avorter	avortement	V	N	ment	suffix
avorter	avorteur	V	N	eur	suffix
Norvège	norvégien	N	N	ien	suffix
-grade	digitigrade	J	J	digit	prefix
caractère	caractériser	N	V	iser	suffix
-ette	quadrette	N	N	quadri	prefix
bémol	bémoliser	N	V	iser	suffix
Sicile	sicilienne	N	N	ienne	suffix
lette	letton	J	N	on	suffix
national	nationalité	J	N	ité	suffix
-phone	francophone	J	J	franco	prefix
Indonésie	indonésien	N	N	en	suffix
Vietnam	vietnamien	N	N	ien	suffix
abonde	abondement	V	N	ment	suffix
Aiguilles	aiguillon	N	N	on	suffix
prochain	prochainement	J	R	ment	suffix
pot	poterie	N	N	erie	suffix
port	aéroport	N	N	aéro	prefix
skier	skieur	V	N	eur	suffix
muser	amuser	V	V	a	prefix
station	stationner	N	V	er	suffix
brasser	embrasser	V	V	en	prefix
pré	prairie	N	N	erie	suffix
terre	terrier	N	N	ier	suffix
Alsace	alsacien	N	N	ien	suffix
allemand	boche	N	N	boche	suffix
énergie	bioénergie	N	N	bio	prefix
fascine	fascinage	N	N	age	suffix
cartonner	cartonnage	V	N	age	suffix
sexualité	homosexualité	N	N	homo	prefix
essence	essencerie	N	N	erie	suffix
syndic	syndicat	N	N	at	suffix
couler	couloir	V	N	oir	suffix
servi	serviette	V	N	ette	suffix
craie	crayon	N	N	on	suffix
Frise	frison	N	N	on	suffix
éros	érogène	N	J	gène	suffix
Indonésie	Indonésien	N	N	en	suffix
commande	télécommande	N	N	télé	prefix
commode	malcommode	J	J	mal	prefix
paver	paveur	V	N	eur	suffix
vision	télévision	N	N	télé	prefix
garder	regarder	V	V	re	prefix
masser	amasser	V	V	a	prefix
charger	télécharger	V	V	télé	prefix
beau	beauté	N	N	té	suffix
changer	échanger	V	V	é	prefix
obéir	désobéir	V	V	dés	prefix
planète	exoplanète	N	N	exo	prefix
illettré	illettrisme	J	N	isme	suffix
porter	emporter	V	V	en	prefix
sauce	saucer	N	V	er	suffix
Colombe	colombin	N	N	in	suffix
actinique	inactinique	J	J	in	prefix
mensuel	bimensuel	J	J	bi	prefix
grenade	grenadine	N	N	ine	suffix
artiste	artistique	N	J	ique	suffix
-mètre	thermomètre	N	N	thermo	prefix
glace	glaçon	N	N	on	suffix
porc	porcherie	N	N	erie	suffix
douane	douanier	N	J	ier	suffix
toxique	toxine	J	N	ine	suffix
Islande	islandais	N	N	ais	suffix
magnétique	électromagnétique	J	J	électro	prefix
associatif	associativité	J	N	ité	suffix
injection	bijection	N	N	bi	prefix
Québec	québécisme	N	N	isme	suffix
placer	déplacer	V	V	dé	prefix
satelliser	satellisation	V	N	ation	suffix
chinois	chinoiserie	N	N	erie	suffix
convoiter	convoitise	V	N	ise	suffix
bathymètre	bathymétrie	N	N	ie	suffix
drame	mélodrame	N	N	mélo	prefix
abrupt	abruptement	J	R	ment	suffix
isomère	isomérie	N	N	ie	suffix
anisogame	anisogamie	J	N	ie	suffix
autogame	autogamie	J	N	ie	suffix
épimère	épimérie	J	N	ie	suffix
malade	maladie	J	N	ie	suffix
plaste	chloroplaste	N	N	chloro	prefix
débourrer	débourrement	V	N	ment	suffix
adelphe	diadelphe	J	J	di	prefix
tac	tacot	N	N	ot	suffix
jeune	jeunesse	J	N	esse	suffix
procéder	procédure	V	N	ure	suffix
casser	cassation	V	N	ation	suffix
hologame	hologamie	J	N	ie	suffix
chercher	rechercher	V	V	re	prefix
mérogame	mérogamie	J	N	ie	suffix
bichromater	bichromatage	V	N	age	suffix
oogame	oogamie	J	N	ie	suffix
quinze	quinzième	N	J	ième	suffix
messager	messagerie	N	N	ie	suffix
dix-sept	dix-septième	N	J	ième	suffix
dix-huit	dix-huitième	N	J	ième	suffix
dix-neuf	dix-neuvième	N	J	ième	suffix
vingt	vingtième	N	J	ième	suffix
vingt-et-un	vingt-et-unième	N	J	ième	suffix
vingt-deux	vingt-deuxième	N	J	ième	suffix
vingt-trois	vingt-troisième	N	J	ième	suffix
vingt-quatre	vingt-quatrième	N	J	ième	suffix
vingt-cinq	vingt-cinquième	N	J	ième	suffix
vingt-six	vingt-sixième	N	J	ième	suffix
vingt-sept	vingt-septième	N	J	ième	suffix
vingt-huit	vingt-huitième	N	J	ième	suffix
vingt-neuf	vingt-neuvième	N	J	ième	suffix
trente	trentième	N	J	ième	suffix
quarante	quarantième	N	J	ième	suffix
cinquante	cinquantième	N	N	ième	suffix
soixante	soixantième	N	J	ième	suffix
septante	septantième	N	N	ième	suffix
quatre-vingt	quatre-vingtième	N	J	ième	suffix
nonante	nonantième	N	J	ième	suffix
cent	centième	N	J	ième	suffix
mille	millième	N	N	ième	suffix
million	millionième	N	N	ième	suffix
milliard	milliardième	N	J	ième	suffix
-logie	écologie	N	N	éco	prefix
séismologue	sismologie	N	N	ie	suffix
camoufler	camouflage	V	N	age	suffix
empenner	empennage	V	N	age	suffix
siphonogame	siphonogamie	J	N	ie	suffix
folié	trifolié	J	J	tri	prefix
face	effacer	V	V	é	prefix
commun	communisme	J	N	isme	suffix
abeille	abeiller	N	N	er	suffix
base	basique	N	J	ique	suffix
crever	crevaille	V	N	aille	suffix
aller	allure	N	N	ure	suffix
amitié	amitieux	N	J	eux	suffix
brosser	brosseur	V	N	eur	suffix
dure	dureté	N	N	té	suffix
clignoter	clignoteur	V	N	eur	suffix
métamorphe	métamorphisme	J	N	isme	suffix
microlithe	microlithique	N	J	ique	suffix
politique	apolitique	J	J	a	prefix
genèse	paragenèse	N	N	para	prefix
silice	silicate	N	N	ate	suffix
volcan	volcanique	N	J	ique	suffix
-lithe	xénolithe	N	N	xéno	prefix
virus	antivirus	J	J	anti	prefix
couronner	couronnement	V	N	ment	suffix
biologie	biologiste	N	N	iste	suffix
roman	téléroman	N	N	télé	prefix
sacral	sacralité	J	N	ité	suffix
fumer	fumeuse	V	N	euse	suffix
acheter	acheteuse	V	N	euse	suffix
adhérent	adhérente	J	J	e	suffix
adolescent	adolescente	J	N	e	suffix
aiguille	aiguillière	N	N	ière	suffix
duc	archiduchesse	N	N	archi	prefix
aristotélique	aristotélicienne	J	J	ienne	suffix
arithmétique	arithméticienne	J	N	ienne	suffix
artisan	artisane	N	N	e	suffix
aspirer	aspirante	V	N	ante	suffix
assister	assistante	V	N	ante	suffix
aviateur	aviatrice	N	N	rice	suffix
bailler	bailleresse	V	N	eresse	suffix
balai	balayeuse	N	N	euse	suffix
barboter	barboteuse	V	N	euse	suffix
batelant	bateleuse	V	N	euse	suffix
beurre	beurrière	N	N	ière	suffix
biaiser	biaiseuse	V	N	euse	suffix
bienfait	bienfaitrice	N	N	rice	suffix
boulange	boulangère	N	N	ère	suffix
brasser	brasseuse	V	N	euse	suffix
brocher	brocheuse	V	N	euse	suffix
broder	brodeuse	V	N	euse	suffix
buveur	buveuse	N	N	euse	suffix
bâiller	bâilleuse	V	N	euse	suffix
bâtissant	bâtisseuse	V	N	euse	suffix
Béotie	béotienne	N	N	ienne	suffix
cabaret	cabaretière	N	N	ière	suffix
cacaotier	cacaotière	N	N	ière	suffix
campagne	campagnarde	N	N	arde	suffix
carder	cardeuse	V	N	euse	suffix
chaise	chaisière	N	N	ière	suffix
chanson	chansonnière	N	N	ière	suffix
chanter	chanteuse	V	N	euse	suffix
charrette	charretière	N	N	ière	suffix
chasseur	chasseresse	J	J	eresse	suffix
cherchant	chercheuse	V	N	euse	suffix
collège	collégienne	N	N	ienne	suffix
colombo	colombine	N	N	ine	suffix
compositeur	compositrice	N	N	rice	suffix
comédie	comédienne	N	N	ienne	suffix
confisant	confiseuse	V	N	euse	suffix
confiture	confiturière	N	N	ière	suffix
conseiller	conseillère	N	N	ère	suffix
contrebande	contrebandière	N	N	ière	suffix
corset	corsetière	N	N	ière	suffix
costume	costumière	N	N	ière	suffix
tutrice	cotutrice	N	N	co	prefix
couteau	coutelière	N	N	ière	suffix
couture	couturière	N	N	ière	suffix
cracher	cracheuse	V	N	euse	suffix
creuser	creusement	V	N	ment	suffix
créance	créancière	N	N	ière	suffix
cuisine	cuisinière	N	N	ière	suffix
céroplastie	céroplastique	N	J	ique	suffix
danser	danseuse	V	N	euse	suffix
demander	demandeuse	V	N	euse	suffix
demeurer	demeurante	V	J	ante	suffix
dirigeant	dirigeante	N	N	e	suffix
dolomie	dolomite	N	N	ite	suffix
dominicain	dominicaine	N	N	aine	suffix
