axial	abaxial	J	J	ab	prefix
fallen	befallen	V	V	be	prefix
bestellen	Bestellung	V	N	ung	suffix
lang	langsam	N	J	sam	suffix
schicken	Schicksal	V	N	sal	suffix
setzen	übersetzen	V	V	über	prefix
teilen	Teilung	N	N	ung	suffix
abteilen	Abteilung	V	N	ung	suffix
zählen	zählbar	N	J	bar	suffix
schlagen	beschlagen	V	V	be	prefix
suchen	Besuch	N	N	be	prefix
stören	zerstören	V	V	zer	prefix
bringen	zurückbringen	V	V	zurück	prefix
nützlich	Nützlichkeit	J	N	keit	suffix
rauben	Räuber	N	N	er	suffix
orthodox	unorthodox	J	J	un	prefix
bereit	bereits	J	R	s	suffix
gar	ungar	J	J	un	prefix
kleben	zusammenkleben	V	V	zusammen	prefix
leiten	Leiter	V	N	er	suffix
enden	beenden	V	V	be	prefix
achten	verachten	V	V	ver	prefix
fühlen	Gefühl	N	N	ge	prefix
entschuldigen	Entschuldigung	V	N	ung	suffix
übersetzen	Übersetzung	N	N	ung	suffix
hören	gehören	V	V	ge	prefix
wachsen	erwachsen	J	J	er	prefix
wachsen	auswachsen	V	V	aus	prefix
stehen	aufstehen	V	V	auf	prefix
heben	erheben	V	V	er	prefix
sterben	versterben	V	V	ver	prefix
stehen	verstehen	V	V	ver	prefix
lehren	Lehrer	N	N	er	suffix
ein	hinein	R	R	hin	prefix
aus	hinaus	R	R	hin	prefix
aus	heraus	R	R	her	prefix
lingual	bilingual	J	J	bi	prefix
strafen	bestrafen	V	V	be	prefix
verbinden	Verbindung	N	N	ung	suffix
gewöhnlich	ungewöhnlich	J	J	un	prefix
gehen	vorgehen	V	V	vor	prefix
strukturiert	unstrukturiert	J	J	un	prefix
vollständig	unvollständig	J	J	un	prefix
feststellen	Feststellung	V	N	ung	suffix
unterstützen	Unterstützung	V	N	ung	suffix
stützen	unterstützen	V	V	unter	prefix
abhängig	unabhängig	J	J	un	prefix
sprechen	widersprechen	V	V	wider	prefix
versorgen	Versorgung	N	N	ung	suffix
blenden	ausblenden	V	V	aus	prefix
fassen	umfassen	V	V	um	prefix
ergänzen	Ergänzung	V	N	ung	suffix
belohnen	Belohnung	V	N	ung	suffix
fordern	erfordern	V	V	er	prefix
wachen	überwachen	V	V	über	prefix
aufmerksam	Aufmerksamkeit	J	N	keit	suffix
brechen	Verbrechen	N	N	ver	prefix
decken	entdecken	V	V	ent	prefix
entdecken	Entdeckung	V	N	ung	suffix
fair	unfair	J	J	un	prefix
sexuell	homosexuell	J	J	homo	prefix
abkürzen	Abkürzung	N	N	ung	suffix
beamen	Beamer	N	N	er	suffix
besetzen	Besetzung	N	N	ung	suffix
